IP Address,Common Name
76.223.72.116:443,onecustomer-staging.roche.com|api.onecustomer-staging.roche.com|*.onecustomer-staging.roche.com|www.api.onecustomer-staging.roche.com|www.onecustomer-staging.roche.com
76.223.48.98:443,onecustomer-dev.roche.com|api.onecustomer-dev.roche.com|api.onecustomer-test.roche.com|onecustomer-test.roche.com|www.api.onecustomer-dev.roche.com|www.api.onecustomer-test.roche.com|www.onecustomer-dev.roche.com|www.onecustomer-test.roche.com
99.83.128.107:443,onecustomer.roche.com|api.onecustomer.roche.com|www.api.onecustomer.roche.com
99.83.129.70:443,onecustomer-staging.roche.com|api.onecustomer-staging.roche.com|*.onecustomer-staging.roche.com|www.api.onecustomer-staging.roche.com|www.onecustomer-staging.roche.com
99.83.150.118:443,onecustomer.roche.com|api.onecustomer.roche.com|www.api.onecustomer.roche.com
99.83.156.105:443,onecustomer.roche.com|api.onecustomer.roche.com|www.api.onecustomer.roche.com34.49.54.20:443,backstage-dev.roche.com
34.89.129.229:443,sinkhole.secure.roche.com|sinkhole.roche.com
34.89.201.202:443,vectr-io-test.secure.roche.com
34.89.212.165:443,*.code-dev.roche.com
34.95.103.249:443,sublime.secure.roche.com
34.102.183.148:443,freeda.digitalhumans.roche.com
34.102.194.248:443,kroki.devapps-test.roche.com
34.102.223.231:443,kroki.devapps.roche.com
34.107.142.17:443,assets.code-dev.roche.com
34.110.132.244:443,sinkhole.secure.roche.com|sinkhole.roche.com
34.149.131.227:443,backstage-test.roche.com
34.149.222.201:443,badges.devsecops.roche.com
34.159.0.108:443,*.pages-test.roche.com|pages-test.roche.com
34.159.150.39:443,*.pages-dev.roche.com|pages-dev.roche.com
34.159.200.54:443,*.code-perf.roche.com
35.186.237.64:443,caa-check.secure.roche.com
35.190.117.127:443,telemetry-admin.secure.roche.com
35.198.184.97:443,*.code-test.roche.com
35.208.46.236:443,devmetrics.roche.com
35.227.208.13:443,datacatalog.roche.com|www.datacatalog.roche.com
35.227.250.36:443,assets.code-test.roche.com
35.242.215.126:443,iap-cms-sb.roche.com
35.242.244.103:443,*.code.roche.com
35.244.251.115:443,assets.code.roche.com
35.246.174.236:443,*.pages.roche.com|pages.roche.com13.80.12.197:443,api.sb0-rochechat.roche.com
13.95.198.195:443,eliona.roche.com
20.31.46.59:443,cmgclientdevelop.emea.roche.com
20.52.17.30:443,direct.roche.com
20.74.65.152:443,hub-dev.diafr.roche.com|transport-dev.diafr.roche.com|monitoring-dev.diafr.roche.com|automaticq-dev.diafr.roche.com|web2-dev.diafr.roche.com|rudder-dev.diafr.roche.com
20.101.30.112:443,cmgworkplace.emea.roche.com
23.97.234.74:443,dms.rok.roche.com
52.136.226.155:443,mauticro.roche.com
52.166.252.64:443,api.dev-rochechat.roche.com
108.143.56.65:443,api.tst-rochechat.roche.com
